Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_ms,Device_Time_ms,Speedup
house.pgm,512,512,1.5,20,80,30.925280,1.441952,21.44
house.pgm,512,512,1.5,20,90,29.899200,1.417024,21.09
house.pgm,512,512,1.5,20,100,29.782112,1.441504,20.66
house.pgm,512,512,1.5,20,110,36.249374,1.441024,25.15
house.pgm,512,512,1.5,20,120,37.195042,1.511712,24.60
house.pgm,512,512,1.5,20,130,36.817440,1.426016,25.81
house.pgm,512,512,1.5,30,80,30.796801,1.461792,21.06
house.pgm,512,512,1.5,30,90,29.595297,1.435776,20.61
house.pgm,512,512,1.5,30,100,29.666143,1.432704,20.70
house.pgm,512,512,1.5,30,110,29.673952,1.410368,21.03
house.pgm,512,512,1.5,30,120,37.876225,1.457184,25.99
house.pgm,512,512,1.5,30,130,38.233986,1.549088,24.68
house.pgm,512,512,1.5,40,80,30.097153,1.412128,21.31
house.pgm,512,512,1.5,40,90,29.734177,1.422528,20.90
house.pgm,512,512,1.5,40,100,29.816799,1.421632,20.97
house.pgm,512,512,1.5,40,110,30.935713,1.448800,21.35
house.pgm,512,512,1.5,40,120,29.713600,1.406112,21.13
house.pgm,512,512,1.5,40,130,29.805536,1.432352,20.80
house.pgm,512,512,1.5,50,80,30.136095,1.445408,20.84
house.pgm,512,512,1.5,50,90,30.976801,1.458336,21.24
house.pgm,512,512,1.5,50,100,30.057953,1.495680,20.09
house.pgm,512,512,1.5,50,110,31.109568,1.442816,21.56
house.pgm,512,512,1.5,50,120,29.901888,1.417472,21.09
house.pgm,512,512,1.5,50,130,37.596096,1.446528,25.99
house.pgm,512,512,1.5,60,80,29.616417,1.419520,20.86
house.pgm,512,512,1.5,60,90,31.057600,1.544000,20.11
house.pgm,512,512,1.5,60,100,36.917664,1.432992,25.76
house.pgm,512,512,1.5,60,110,30.850401,1.409056,21.89
house.pgm,512,512,1.5,60,120,36.086304,1.433088,25.18
house.pgm,512,512,1.5,60,130,30.977983,1.422560,21.77
house.pgm,512,512,1.5,70,80,37.270016,1.443072,25.82
house.pgm,512,512,1.5,70,90,30.185505,1.421632,21.23
house.pgm,512,512,1.5,70,100,30.961184,1.463264,21.15
house.pgm,512,512,1.5,70,110,29.586817,1.422080,20.80
house.pgm,512,512,1.5,70,120,29.955296,1.453728,20.60
house.pgm,512,512,1.5,70,130,30.683104,1.452032,21.13
house.pgm,512,512,1.75,20,80,29.777920,1.437664,20.71
house.pgm,512,512,1.75,20,90,38.054657,1.461600,26.03
house.pgm,512,512,1.75,20,100,30.035936,1.424512,21.08
house.pgm,512,512,1.75,20,110,29.767361,1.428800,20.83
house.pgm,512,512,1.75,20,120,29.816929,1.423008,20.95
house.pgm,512,512,1.75,20,130,31.138111,1.439328,21.63
house.pgm,512,512,1.75,30,80,36.684929,1.534592,23.90
house.pgm,512,512,1.75,30,90,29.624865,1.414048,20.95
house.pgm,512,512,1.75,30,100,29.826368,1.434368,20.79
house.pgm,512,512,1.75,30,110,36.814304,1.439872,25.56
house.pgm,512,512,1.75,30,120,31.072927,1.455072,21.35
house.pgm,512,512,1.75,30,130,30.077921,1.417568,21.21
house.pgm,512,512,1.75,40,80,31.305729,1.432320,21.85
house.pgm,512,512,1.75,40,90,31.046623,1.427328,21.75
house.pgm,512,512,1.75,40,100,29.609760,1.417280,20.89
house.pgm,512,512,1.75,40,110,31.207775,1.435552,21.73
house.pgm,512,512,1.75,40,120,29.895967,1.415744,21.11
house.pgm,512,512,1.75,40,130,30.857023,1.447168,21.32
house.pgm,512,512,1.75,50,80,30.966721,1.428832,21.67
house.pgm,512,512,1.75,50,90,37.026913,1.456896,25.41
house.pgm,512,512,1.75,50,100,31.254047,1.444448,21.63
house.pgm,512,512,1.75,50,110,30.547264,1.442976,21.16
house.pgm,512,512,1.75,50,120,31.007008,1.429152,21.69
house.pgm,512,512,1.75,50,130,31.152927,1.459584,21.34
house.pgm,512,512,1.75,60,80,29.649536,1.432864,20.69
house.pgm,512,512,1.75,60,90,30.201857,1.451648,20.80
house.pgm,512,512,1.75,60,100,31.093792,1.433536,21.69
house.pgm,512,512,1.75,60,110,29.957409,1.422528,21.05
house.pgm,512,512,1.75,60,120,31.291552,1.436256,21.78
house.pgm,512,512,1.75,60,130,29.926081,1.416800,21.12
house.pgm,512,512,1.75,70,80,36.832127,1.424960,25.84
house.pgm,512,512,1.75,70,90,31.168703,1.454752,21.42
house.pgm,512,512,1.75,70,100,31.010559,1.448928,21.40
house.pgm,512,512,1.75,70,110,30.983040,1.455264,21.29
house.pgm,512,512,1.75,70,120,30.592129,1.457632,20.98
house.pgm,512,512,1.75,70,130,29.997503,1.419808,21.12
house.pgm,512,512,2.0,20,80,29.721855,1.408032,21.10
house.pgm,512,512,2.0,20,90,29.973312,1.425152,21.03
house.pgm,512,512,2.0,20,100,30.060192,1.415232,21.24
house.pgm,512,512,2.0,20,110,30.211807,1.422496,21.23
house.pgm,512,512,2.0,20,120,31.367071,1.440832,21.77
house.pgm,512,512,2.0,20,130,30.831232,1.429344,21.57
house.pgm,512,512,2.0,30,80,30.079935,1.440640,20.87
house.pgm,512,512,2.0,30,90,36.065311,1.434688,25.13
house.pgm,512,512,2.0,30,100,29.928896,1.438208,20.80
house.pgm,512,512,2.0,30,110,31.075232,1.420608,21.87
house.pgm,512,512,2.0,30,120,30.800352,1.435872,21.45
house.pgm,512,512,2.0,30,130,30.083328,1.435552,20.95
house.pgm,512,512,2.0,40,80,29.749056,1.438368,20.68
house.pgm,512,512,2.0,40,90,30.052864,1.427104,21.05
house.pgm,512,512,2.0,40,100,30.990400,1.434080,21.60
house.pgm,512,512,2.0,40,110,35.239166,1.424864,24.73
house.pgm,512,512,2.0,40,120,37.074463,1.446848,25.62
house.pgm,512,512,2.0,40,130,30.181120,1.422624,21.21
house.pgm,512,512,2.0,50,80,31.129057,1.420320,21.91
house.pgm,512,512,2.0,50,90,30.016096,1.418720,21.15
house.pgm,512,512,2.0,50,100,29.872095,1.418592,21.05
house.pgm,512,512,2.0,50,110,29.533760,1.421376,20.77
house.pgm,512,512,2.0,50,120,37.280769,1.442720,25.84
house.pgm,512,512,2.0,50,130,31.174751,1.457344,21.39
house.pgm,512,512,2.0,60,80,37.089054,1.503296,24.67
house.pgm,512,512,2.0,60,90,37.135742,1.449440,25.62
house.pgm,512,512,2.0,60,100,29.756224,1.432576,20.77
house.pgm,512,512,2.0,60,110,31.523199,1.483712,21.24
house.pgm,512,512,2.0,60,120,29.699488,1.421088,20.89
house.pgm,512,512,2.0,60,130,29.792608,1.437568,20.72
house.pgm,512,512,2.0,70,80,30.849056,1.426016,21.63
house.pgm,512,512,2.0,70,90,31.468479,1.469984,21.40
house.pgm,512,512,2.0,70,100,30.142080,1.446464,20.83
house.pgm,512,512,2.0,70,110,29.760832,1.419008,20.97
house.pgm,512,512,2.0,70,120,31.110624,1.439104,21.61
house.pgm,512,512,2.0,70,130,31.024639,1.441216,21.52
house.pgm,512,512,2.25,20,80,37.274784,1.453888,25.63
house.pgm,512,512,2.25,20,90,30.979679,1.443296,21.46
house.pgm,512,512,2.25,20,100,34.926849,1.435520,24.33
house.pgm,512,512,2.25,20,110,30.129087,1.428896,21.08
house.pgm,512,512,2.25,20,120,29.711840,1.426208,20.83
house.pgm,512,512,2.25,20,130,29.723648,1.431392,20.76
house.pgm,512,512,2.25,30,80,30.831137,1.455104,21.18
house.pgm,512,512,2.25,30,90,31.127136,1.473408,21.12
house.pgm,512,512,2.25,30,100,30.995104,1.431456,21.65
house.pgm,512,512,2.25,30,110,30.925856,1.441248,21.45
house.pgm,512,512,2.25,30,120,30.059008,1.443008,20.83
house.pgm,512,512,2.25,30,130,37.728447,1.470720,25.65
house.pgm,512,512,2.25,40,80,36.717823,1.445536,25.40
house.pgm,512,512,2.25,40,90,31.056383,1.441632,21.54
house.pgm,512,512,2.25,40,100,30.721697,1.453152,21.14
house.pgm,512,512,2.25,40,110,30.678368,1.440000,21.30
house.pgm,512,512,2.25,40,120,31.067743,1.463456,21.22
house.pgm,512,512,2.25,40,130,30.971807,1.438848,21.52
house.pgm,512,512,2.25,50,80,30.952703,1.442848,21.45
house.pgm,512,512,2.25,50,90,31.141344,1.460288,21.32
house.pgm,512,512,2.25,50,100,30.150175,1.443712,20.88
house.pgm,512,512,2.25,50,110,31.213120,1.469344,21.24
house.pgm,512,512,2.25,50,120,31.090176,1.435360,21.66
house.pgm,512,512,2.25,50,130,30.984991,1.432544,21.62
house.pgm,512,512,2.25,60,80,30.801537,1.468992,20.96
house.pgm,512,512,2.25,60,90,36.184479,1.439616,25.13
house.pgm,512,512,2.25,60,100,36.855297,1.506784,24.45
house.pgm,512,512,2.25,60,110,30.016001,1.432128,20.95
house.pgm,512,512,2.25,60,120,29.725248,1.412800,21.03
house.pgm,512,512,2.25,60,130,40.076126,1.461376,27.42
house.pgm,512,512,2.25,70,80,30.591295,1.458144,20.97
house.pgm,512,512,2.25,70,90,29.891680,1.428448,20.92
house.pgm,512,512,2.25,70,100,29.734304,1.451360,20.48
house.pgm,512,512,2.25,70,110,30.715904,1.424864,21.55
